id,distrito,provincia,poblacion
1058,La Matanza,Buenos Aires,1841247
1233,Capital,Córdoba,1505250
1431,Rosario,Santa Fe,1348725
1559,La Plata,Buenos Aires,768547
1528,Lomas de Zamora,Buenos Aires,690480
1064,General Pueyrredón,Buenos Aires,667082
1373,Quilmes,Buenos Aires,633391
1412,Capital,Salta,627704
1369,Capital,Tucumán,590342
1296,Almirante Brown,Buenos Aires,584827
1330,Merlo,Buenos Aires,582486
1057,Moreno,Buenos Aires,576632
1494,La Capital,Santa Fe,572265
1364,Florencio Varela,Buenos Aires,496433
1213,Confluencia,Neuquén,468794
1527,Lanús,Buenos Aires,461267
1352,General San Martín,Buenos Aires,450518
1278,Tigre,Buenos Aires,446949
1444,Capital,Corrientes,439270
1524,San Fernando,Chaco,416140
1344,Pilar,Buenos Aires,394754
1464,Capital,Misiones,392919
1048,Paraná,Entre Ríos,391696
1242,General Roca,Río Negro,380525
1529,Avellaneda,Buenos Aires,367554
1363,Tres de Febrero,Buenos Aires,364176
1078,Berazategui,Buenos Aires,358712
1349,Malvinas Argentinas,Buenos Aires,350674
1332,Esteban Echeverría,Buenos Aires,338480
1062,Bahía Blanca,Buenos Aires,336557
1308,Morón,Buenos Aires,331183
1288,Capital,Santiago del Estero,330112
1342,San Miguel,Buenos Aires,328835
1053,José C. Paz,Buenos Aires,326992
1410,Guaymallén,Mendoza,321966
1336,Dr. Manuel Belgrano,Jujuy,320990
1356,San Isidro,Buenos Aires,297282
1438,Colón,Córdoba,295725
1071,Vicente López,Buenos Aires,282280
1138,Río Cuarto,Córdoba,279923
1449,Formosa,Formosa,269589
1261,Comuna 13,Ciudad Autónoma de Buenos Aires,264385
1036,Juan Martín de Pueyrredón,San Luis,261697
1052,Escobar,Buenos Aires,256268
1289,Comuna 14,Ciudad Autónoma de Buenos Aires,248635
1179,Comuna 12,Ciudad Autónoma de Buenos Aires,236887
1266,Las Heras,Mendoza,234401
1134,San Justo,Córdoba,230339
