Cuadro 1. Empleo por sector - IV 2025,,,,,Volver al índice,,,
Provincia,"Agricultura, ganadería y pesca",Minería y petroleo,Industria,"Electricidad, gas y agua",Construcción,Comercio,Servicios,Total
Partidos de GBA,10717,2054,323592,1786,58984,238307,566526,1201966
Capital Federal,11897,10133,172386,15344,83577,241036,1076167,1610540
Resto de Buenos Aires,78295,6114,186147,18088,49979,191178,377164,906965
Catamarca,1716,1854,6052,1022,4693,8070,13937,37344
Córdoba,34951,1784,111333,8206,30965,116828,246629,550696
Corrientes,12142,192,13241,956,4440,22766,28419,82156
Chaco,7081,65,7211,349,4087,22658,34104,75555
Chubut,8409,10339,13663,2993,7059,21091,35013,98567
Entre Ríos,19542,557,30843,1798,5251,33042,54417,145450
Formosa,1926,59,1759,1154,2722,7109,8361,23090
Jujuy,9759,2899,10799,622,5554,11033,23710,64376
La Pampa,4723,622,5093,1891,2533,12573,13456,40891
La Rioja,3191,84,7974,861,1063,6742,8528,28443
Mendoza,23810,3863,45551,3535,19860,49509,118940,265068
Misiones,7457,192,20387,1859,4520,22752,46452,103619
Neuquén,3840,25320,13203,2028,22794,27508,58995,153688
Río Negro,18939,3773,15727,1994,7636,26028,47475,121572
Salta,17246,4843,17732,2225,13396,23601,50593,129636
San Juan,5216,3031,14534,433,10301,14867,38402,86784
San Luis,3176,185,15065,638,2447,11210,20775,53496
Santa Cruz,4247,11215,3381,471,2533,9364,23156,54367
Santa Fe,27663,976,134027,5141,36293,112507,230471,547078
Santiago del Estero,4702,246,5464,900,6226,15264,21975,54777
Tucumán,35058,206,24809,1960,9262,33612,69960,174867
Tierra del Fuego,944,803,10201,215,1539,6731,15780,36213
Total,356647,91409,1210174,76469,397714,1285386,3229405,6647204
"Fuente: STEySS - Dirección Nacional de Estudios y Estadísticas Laborales - Observatorio de Empleo y Dinámica Empresarial, en base a SIPA.",,,,,,,,
,,,,,,,,
Nota: El empleo perteneciente a las empresas con participación accionaria privada y estatal se incluye dentro del sector privado,,,,,,,,
